instance,output,time
dreal-conv/flyspeck/557.smt2,timeout,1000
dreal-conv/tests/kinematic_arm_1DOF_4.smt2,unsat,0.02
dreal-conv/flyspeck/882.smt2,timeout,1000
metitarski/sin-problem-10-2.smt2,timeout,1000
metitarski/sin-344-4.smt2,timeout,1000
metitarski/log-lower-16.smt2,unsat,0.02
metitarski/CONVOI-weak.smt2,timeout,1000
bmc/arrowsmith_and_place_fig_3_5c_page_79.transcendental.k3.smt2,unsat,0.39
bmc/stable_limit_cycle2.transcendental.k10.smt2,error: yices_smt2: /build/libpoly0-udZsPE/libpoly0-2.0/src/number/value.c:958: lp_value_to_double: Assertion `0' failed. :: Command exited with non-zero status 21 :: 2.82,2.82
dreal-conv/flyspeck/471.smt2,timeout,1000
dreal-conv/tests/lei_03.smt2,sat (delta),0.01
bmc/nav_17.transcendental.k0.smt2,unsat,0.01
dreal-conv/flyspeck/877.smt2,timeout,1000
bmc/dumortier_llibre_artes_ex_10_15_ii.transcendental.k1.smt2,timeout,1000
metitarski/log-fun-ineq-e-weak.smt2,unsat,0.07
metitarski/exp-fun-ineq-c-III-6.smt2,unsat,0.01
dreal-conv/flyspeck/438.smt2,timeout,1000
bmc/keymaera_nonlinear_diffcut.transcendental.k0.smt2,unsat,0.01
dreal-conv/flyspeck/240.smt2,timeout,1000
bmc/dumortier_llibre_artes_ex_1_11b.transcendental.k2.smt2,sat,0.01
dreal-conv/flyspeck/831.smt2,timeout,1000
bmc/strogatz_ex_6_8_3.transcendental.k3.smt2,sat,0.01
dreal-conv/flyspeck/304.smt2,timeout,1000
dreal-conv/flyspeck/54.smt2,timeout,1000
metitarski/log-lower-12.smt2,unsat,0.01
dreal-conv/powersystems/dreal_file_5_25.smt2,sat (delta),0.06
dreal-conv/flyspeck/224.smt2,timeout,1000
metitarski/cos-error-analysis-6.smt2,sat (delta),0.02
metitarski/log-upper-1.smt2,unsat,0.01
bmc/sat_11.transcendental.k1.smt2,unsat,1.29
dreal-conv/flyspeck/609.smt2,timeout,1000
bmc/nav_05.transcendental.k0.smt2,unsat,0.01
dreal-conv/flyspeck/74.smt2,timeout,1000
bmc/nav_06.transcendental.k0.smt2,unsat,0.01
dreal-conv/flyspeck/328.smt2,timeout,1000
bmc/collin_goriely_page_60.transcendental.k10.smt2,sat (delta),0.06
metitarski/cos-problem-5-sqrt.smt2,unsat,0.68
metitarski/sin-cos-problem-diff4a.smt2,timeout,1000
metitarski/cosec-problem-1b.smt2,unsat,136.96
dreal-conv/tests/fedor_08.smt2,sat,0.01
bmc/synthetic_example1.transcendental.k5.smt2,sat (delta),0.04
dreal-conv/flyspeck/799.smt2,timeout,1000
dreal-conv/flyspeck/773.smt2,timeout,1000
bmc/WBS_blue_faulty_arch4_01_p0.transcendental.k10.smt2,unsat,0.12
metitarski/trigpoly-356-4a-sin2x.smt2,unsat,2.36
bmc/dumortier_llibre_artes_ex_1_9a.transcendental.k10.smt2,sat,0.03
bmc/sat_08.transcendental.k0.smt2,unsat,0.03
bmc/strogatz_ex_6_3_2.transcendental.k2.smt2,timeout,1000
metitarski/cosec-problem-3a-weak.smt2,timeout,1000
bmc/WBS_blue_faulty_arch4_03_p0.transcendental.k10.smt2,error: ./nodiv-benchmark/bmc/WBS_blue_faulty_arch4_03_p0.transcendental.k10.smt2: No such file or directory :: Command exited with non-zero status 18 :: 0.00,0
dreal-conv/flyspeck/512.smt2,timeout,1000
dreal-conv/flyspeck/440.smt2,timeout,1000
dreal-conv/flyspeck/48.smt2,timeout,1000
bmc/keymaera_nonlinear_diffcut.transcendental.k10.smt2,error: yices_smt2: /build/libpoly0-udZsPE/libpoly0-2.0/src/polynomial/coefficient.c:3054: coefficient_resolve_algebraic: Assertion `coefficient_is_univariate(A_alg)' failed. :: Command exited with non-zero status 21 :: 0.03,0.03
dreal-conv/flyspeck/13.smt2,timeout,1000
metitarski/exp-lower-14-sqrt-weak.smt2,unsat,0.02
bmc/strogatz_ex_6_6_2_limit_cycle.transcendental.k10.smt2,timeout,1000
bmc/heater_10.transcendental.k1.smt2,unsat,0.06
metitarski/polypaver-sqrt43-int_A.smt2,timeout,1000
